codec,benchmark,channel,r,n_trials,n_success,success_rate,median_density_eb_per_g,median_decode_time_s,median_preproc_time_s,median_n_surviving,median_inner_pass_rate,input_size_bytes,preprocessing,parity_rate,git_shas,hmm_rs_versions,idsim_versions,channel_coverage_sigma
dna_aeon,2,hifi,0.02,30,30,1.0,107.658,68.27,2.325,1156,,15360,cdhit_dereplicate (id=0.85),0.9812,unknown,unknown,0.1.0,0.3
dna_aeon,2,hifi,0.05,30,0,0.0,125.75,0.0,1.86,970,,15360,cdhit_dereplicate (id=0.85),0.9451,unknown,unknown,0.1.0,0.3
dna_aeon,2,hifi,0.1,30,0,0.0,136.06,0.0,1.601,877,,15360,cdhit_dereplicate (id=0.85),0.8812,unknown,unknown,0.1.0,0.3
dna_aeon,2,hifi,0.2,30,0,0.0,119.556,0.0,1.655,949,,15360,cdhit_dereplicate (id=0.85),0.7912,unknown,unknown,0.1.0,0.3
dna_aeon,2,hifi,0.3,30,0,0.0,105.501,0.0,2.109,1029,,15360,cdhit_dereplicate (id=0.85),0.7261,unknown,unknown,0.1.0,0.3
dna_aeon,2,hifi,0.5,30,27,0.9,85.625,68.403,2.236,1140,,15360,cdhit_dereplicate (id=0.85),0.6261,unknown,unknown,0.1.0,0.3
dna_aeon,2,hifi,1.0,30,30,1.0,66.325,67.787,2.465,1188,,15360,cdhit_dereplicate (id=0.85),0.4261,unknown,unknown,0.1.0,0.3
dna_aeon,2,hifi,2.0,30,25,0.8333,47.464,70.799,2.328,1129,,15360,cdhit_dereplicate (id=0.85),0.1785,unknown,unknown,0.1.0,0.3
dna_aeon,2,hifi,5.0,30,30,1.0,21.546,62.712,2.338,1163,,15360,cdhit_dereplicate (id=0.85),0.0671,unknown,unknown,0.1.0,0.3
dna_aeon,2,hifi,10.0,30,30,1.0,10.978,64.558,2.468,1157,,15360,cdhit_dereplicate (id=0.85),0.0499,unknown,unknown,0.1.0,0.3
dna_aeon,2,lofi,0.05,30,0,0.0,110.175,313.755,2.328,1106,,15360,cdhit_dereplicate (id=0.85),0.9519,unknown,unknown,0.1.0,0.3
dna_aeon,2,lofi,0.1,30,0,0.0,123.34,0.0,1.986,971,,15360,cdhit_dereplicate (id=0.85),0.8923,unknown,unknown,0.1.0,0.3
dna_aeon,2,lofi,0.2,30,0,0.0,108.447,0.0,2.293,1052,,15360,cdhit_dereplicate (id=0.85),0.8123,unknown,unknown,0.1.0,0.3
dna_aeon,2,lofi,0.3,30,0,0.0,98.79,0.0,2.365,1086,,15360,cdhit_dereplicate (id=0.85),0.7412,unknown,unknown,0.1.0,0.3
dna_aeon,2,lofi,0.5,30,30,1.0,64.881,366.673,2.647,1505,,15360,cdhit_dereplicate (id=0.85),0.7167,unknown,unknown,0.1.0,0.3
dna_aeon,2,lofi,1.0,30,25,0.8333,61.7,365.173,2.601,1262,,15360,cdhit_dereplicate (id=0.85),0.4612,unknown,unknown,0.1.0,0.3
dna_aeon,2,lofi,2.0,30,0,0.0,45.362,341.851,2.629,1182,,15360,cdhit_dereplicate (id=0.85),0.2145,unknown,unknown,0.1.0,0.3
dna_aeon,2,lofi,5.0,30,0,0.0,21.031,326.66,2.062,1180,,15360,cdhit_dereplicate (id=0.85),0.0812,unknown,unknown,0.1.0,0.3
dna_aeon,2,lofi,10.0,30,0,0.0,10.847,349.388,2.567,1171,,15360,cdhit_dereplicate (id=0.85),0.0612,unknown,unknown,0.1.0,0.3
mahoraga,2,hifi,0.02,30,30,1.0,153.249,463.425,0.0,720,0.996,15360,,,unknown,0.1.0,0.1.0,0.3
mahoraga,2,hifi,0.05,30,30,1.0,150.976,171.858,0.0,712,0.996,15360,,,unknown,0.1.0,0.1.0,0.3
mahoraga,2,hifi,0.1,30,30,1.0,147.296,154.37,0.0,709,0.996,15360,,,unknown,0.1.0,0.1.0,0.3
mahoraga,2,hifi,0.2,30,30,1.0,140.289,133.821,0.0,710,0.996,15360,,,unknown,0.1.0,0.1.0,0.3
mahoraga,2,hifi,0.3,30,30,1.0,133.725,146.766,0.0,707,0.996,15360,,,unknown,0.1.0,0.1.0,0.3
mahoraga,2,hifi,0.5,30,30,1.0,121.784,141.592,0.0,710,0.996,15360,,,unknown,0.1.0,0.1.0,0.3
mahoraga,2,hifi,1.0,30,30,1.0,97.782,140.826,0.0,704,0.996,15360,,,unknown,0.1.0,0.1.0,0.3
mahoraga,2,hifi,2.0,30,30,1.0,66.879,141.632,0.0,703,0.996,15360,,,unknown,0.1.0,0.1.0,0.3
mahoraga,2,hifi,5.0,30,30,1.0,30.716,139.445,0.0,713,0.996,15360,,,unknown,0.1.0,0.1.0,0.3
mahoraga,2,hifi,10.0,30,30,1.0,15.465,148.662,0.0,717,0.996,15360,,,unknown,0.1.0,0.1.0,0.3
mahoraga,2,lofi,0.02,30,30,1.0,116.097,560.362,0.0,951,0.7835,15360,,,unknown,0.1.0,0.1.0,0.3
mahoraga,2,lofi,0.05,30,30,1.0,114.379,358.282,0.0,937,0.7785,15360,,,unknown,0.1.0,0.1.0,0.3
