codec	benchmark	channel	r	n_success	n_trials	success_rate	mediandensityebperg	mediandecodetime_s	mediannsurviving	parity_rate
dna_aeon	1	hifi	0.02	0	30	0.0	4126.486	0.0	32	
dna_aeon	1	hifi	0.05	0	30	0.0	1650.594	0.0	76	
dna_aeon	1	hifi	0.1	0	30	0.0	825.297	0.0	148	
dna_aeon	1	hifi	0.2	0	30	0.0	412.649	0.0	279	
dna_aeon	1	hifi	0.3	0	30	0.0	275.099	0.0	395	
dna_aeon	1	hifi	0.5	0	30	0.0	165.059	0.0	597	
dna_aeon	1	hifi	1.0	0	30	0.0	81.786	0.0	954	
dna_aeon	1	hifi	2.0	30	30	1.0	41.265	78.532	1298	
dna_aeon	1	hifi	5.0	30	30	1.0	16.506	88.076	1517	
dna_aeon	1	hifi	10.0	30	30	1.0	8.179	87.543	1539	
dna_aeon	1	lofi	0.02	0	30	0.0	4126.486	0.0	32	
dna_aeon	1	lofi	0.05	0	30	0.0	1650.594	0.0	76	
dna_aeon	1	lofi	0.1	0	30	0.0	825.297	0.0	148	
dna_aeon	1	lofi	0.2	0	30	0.0	412.649	0.0	279	
dna_aeon	1	lofi	0.3	0	30	0.0	275.099	0.0	395	
dna_aeon	1	lofi	0.5	0	30	0.0	165.059	0.0	597	
dna_aeon	1	lofi	1.0	0	30	0.0	82.53	0.0	954	
dna_aeon	1	lofi	2.0	29	30	0.9667	40.893	358.393	1298	
dna_aeon	1	lofi	5.0	30	30	1.0	16.506	391.479	1517	
dna_aeon	1	lofi	10.0	30	30	1.0	8.253	410.12	1539	
mahoraga	1	hifi	0.02	30	30	1.0	153.249	574.333	720	
mahoraga	1	hifi	0.05	30	30	1.0	150.976	350.273	712	
mahoraga	1	hifi	0.1	30	30	1.0	147.296	222.692	709	
mahoraga	1	hifi	0.2	30	30	1.0	140.289	172.539	710	
mahoraga	1	hifi	0.3	30	30	1.0	133.725	170.183	707	
mahoraga	1	hifi	0.5	30	30	1.0	121.784	141.04	710	
mahoraga	1	hifi	1.0	30	30	1.0	97.782	138.884	704	
mahoraga	1	hifi	2.0	30	30	1.0	66.879	148.561	703	
mahoraga	1	hifi	5.0	30	30	1.0	30.716	143.338	713	
mahoraga	1	hifi	10.0	30	30	1.0	15.465	142.499	717	
mahoraga	1	lofi	0.02	30	30	1.0	116.097	567.051	951	
mahoraga	1	lofi	0.05	30	30	1.0	114.379	484.689	937	
mahoraga	1	lofi	0.1	30	30	1.0	111.588	274.463	944	
mahoraga	1	lofi	0.2	30	30	1.0	106.272	252.972	940	
mahoraga	1	lofi	0.3	30	30	1.0	101.292	246.055	934	
mahoraga	1	lofi	0.5	30	30	1.0	92.25	235.582	935	
mahoraga	1	lofi	1.0	30	30	1.0	74.121	233.605	929	
mahoraga	1	lofi	2.0	30	30	1.0	50.679	245.394	925	
mahoraga	1	lofi	5.0	30	30	1.0	23.271	236.857	939	
mahoraga	1	lofi	10.0	30	30	1.0	11.721	248.219	946	
mgcplus	1	hifi	0.02	0	30	0.0	2641.147	0.0	42	
mgcplus	1	hifi	0.05	0	30	0.0	1056.459	0.0	108	
mgcplus	1	hifi	0.1	0	30	0.0	528.229	0.0	208	
mgcplus	1	hifi	0.2	0	30	0.0	264.115	0.0	395	
mgcplus	1	hifi	0.3	0	30	0.0	176.076	0.0	559	
mgcplus	1	hifi	0.5	0	30	0.0	105.646	0.0	843	
mgcplus	1	hifi	1.0	30	30	1.0	52.823	66.744	1340	
mgcplus	1	hifi	2.0	30	30	1.0	26.411	67.767	1830	
mgcplus	1	hifi	5.0	30	30	1.0	10.565	66.624	2136	
mgcplus	1	hifi	10.0	30	30	1.0	5.282	70.461	2167	
mgcplus	1	lofi	0.02	0	30	0.0	2641.147	0.0	42	
mgcplus	1	lofi	0.05	0	30	0.0	1056.459	0.0	108	
mgcplus	1	lofi	0.1	0	30	0.0	528.229	0.0	208	
mgcplus	1	lofi	0.2	0	30	0.0	264.115	0.0	395	
mgcplus	1	lofi	0.3	0	30	0.0	176.076	0.0	559	
mgcplus	1	lofi	0.5	0	30	0.0	105.646	0.0	843	
mgcplus	1	lofi	1.0	30	30	1.0	52.823	62.51	1340	
mgcplus	1	lofi	2.0	30	30	1.0	26.411	68.834	1830	
mgcplus	1	lofi	5.0	30	30	1.0	10.565	54.312	2136	
mgcplus	1	lofi	10.0	30	30	1.0	5.282	46.498	2167	
